~~~Order Report -> orderID;item;customer;date;quantity;totalPrice
123,Industrial Latex Gloves;Yellow,123,2022-06-19,33,1485.0
33333,Stainless Steel Door Hasp Latch;Small,4242,2022-06-19,123,5535.0
4124,Industrial Latex Gloves;Yellow,3123,2022-06-01,11,495.0
AW!@#,Mini Flower Pots;Black,2323,2022-06-15,1,87.0
123,Mini Flower Pots;Black,123,2022-06-18,123,10701.0
33,Mini Flower Pots;Black,3314,2022-06-18,123,10701.0
123123,Mini Flower Pots;Black,Jihro,2022-04-01,123,10701.0
123,Industrial Latex Gloves;Yellow,123,2022-06-19,123,5535.0
123,Mini Flower Pots;Black,123,2022-06-19,333,28971.0
123,Stainless Steel Door Hasp Latch;Small,123,2020-06-01,123,5535.0
SDRJK345JKI12,Mini Flower Pots;Black,KENNY,2022-06-08,22,1914.0
TEST,Square Flower Pot 8 Inches;White,TEST,2022-06-29,3,522.0
TEST2,Square Flower Pot 8 Inches;White,TEST2,2022-06-29,7,1218.0
GASWERGAWERG,Plastic Spoons;Black,Kenny,2022-07-03,3,450.0
